name,nii_file,nii_file_id,4dvolind
17_to_43,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,43
17_to_44,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,44
17_to_45,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,45
17_to_46,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,46
17_to_47,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,47
17_to_48,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,48
17_to_49,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,49
17_to_50,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,50
17_to_51,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,51
17_to_52,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,52
17_to_53,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,53
17_to_54,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,54
17_to_55,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,55
17_to_56,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,56
17_to_57,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,57
17_to_58,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,58
17_to_59,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,59
17_to_60,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,60
17_to_61,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,61
17_to_62,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,62
17_to_63,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,63
17_to_64,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,64
17_to_65,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,65
17_to_66,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,66
17_to_67,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,67
17_to_68,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,68
17_to_69,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,69
17_to_70,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,70
17_to_71,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,71
17_to_72,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,72
17_to_73,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,73
17_to_74,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,74
17_to_75,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,75
17_to_76,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,76
17_to_77,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,77
17_to_78,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,78
17_to_79,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,79
17_to_80,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,80
17_to_81,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,81
17_to_82,vismap_grp_cat_rois_v2_17_norm.nii.gz,17,82
18_to_0,vismap_grp_cat_rois_v2_18_norm.nii.gz,18,0
